local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
jobfamily_help_desk,Inherited - JobFamily - Help Desk,Managed by Workday - Employees in the Help Desk JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Help Desk"")",JobFam - Help Desk
jobfamily_hr_business_partners,Inherited - JobFamily - HR Business Partners,Managed by Workday - Employees in the HR Business Partners JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""HR Business Partners"")",JobFam - HR Business Partners
jobfamily_hr_information_technology,Inherited - JobFamily - HR Information Technology,Managed by Workday - Employees in the HR Information Technology JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""HR Information Technology"")",JobFam - HR Information Technology
jobfamily_hr_operations,Inherited - JobFamily - HR Operations,Managed by Workday - Employees in the HR Operations JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""HR Operations"")",JobFam - HR Operations
jobfamily_implementation,Inherited - JobFamily - Implementation,Managed by Workday - Employees in the Implementation JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Implementation"")",JobFam - Implementation
jobfamily_internal_audit,Inherited - JobFamily - Internal Audit,Managed by Workday - Employees in the Internal Audit JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Internal Audit"")",JobFam - Internal Audit
jobfamily_it_engineering,Inherited - JobFamily - IT Engineering,Managed by Workday - Employees in the IT Engineering JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""IT Engineering"")",JobFam - IT Engineering
jobfamily_licensing_accreditation,Inherited - JobFamily - Licensing & Accreditation,Managed by Workday - Employees in the Licensing & Accreditation JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Licensing & Accreditation"")",JobFam - Licensing & Accreditation
jobfamily_medical_director,Inherited - JobFamily - Medical Director,Managed by Workday - Employees in the Medical Director JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Medical Director"")",JobFam - Medical Director
jobfamily_medical_records,Inherited - JobFamily - Medical Records,Managed by Workday - Employees in the Medical Records JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Medical Records"")",JobFam - Medical Records
jobfamily_network_and_systems,Inherited - JobFamily - Network and Systems,Managed by Workday - Employees in the Network and Systems JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Network and Systems"")",JobFam - Network and Systems
jobfamily_nurse_practitioners,Inherited - JobFamily - Nurse Practitioners,Managed by Workday - Employees in the Nurse Practitioners JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Nurse Practitioners"")",JobFam - Nurse Practitioners
jobfamily_nurses,Inherited - JobFamily - Nurses,Managed by Workday - Employees in the Nurses JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Nurses"")",JobFam - Nurses
jobfamily_operations,Inherited - JobFamily - Operations,Managed by Workday - Employees in the Operations JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Operations"")",JobFam - Operations
jobfamily_pharmacy,Inherited - JobFamily - Pharmacy,Managed by Workday - Employees in the Pharmacy JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Pharmacy"")",JobFam - Pharmacy
jobfamily_physician_assistants,Inherited - JobFamily - Physician Assistants,Managed by Workday - Employees in the Physician Assistants JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Physician Assistants"")",JobFam - Physician Assistants
jobfamily_physicians,Inherited - JobFamily - Physicians,Managed by Workday - Employees in the Physicians JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Physicians"")",JobFam - Physicians
jobfamily_platform,Inherited - JobFamily - Platform,Managed by Workday - Employees in the Platform JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Platform"")",JobFam - Platform
jobfamily_product_management,Inherited - JobFamily - Product Management,Managed by Workday - Employees in the Product Management JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Product Management"")",JobFam - Product Management
jobfamily_product_marketing,Inherited - JobFamily - Product Marketing,Managed by Workday - Employees in the Product Marketing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Product Marketing"")",JobFam - Product Marketing
jobfamily_program_management,Inherited - JobFamily - Program Management,Managed by Workday - Employees in the Program Management JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Program Management"")",JobFam - Program Management
jobfamily_programming_and_analysis,Inherited - JobFamily - Programming and Analysis,Managed by Workday - Employees in the Programming and Analysis JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Programming and Analysis"")",JobFam - Programming and Analysis
jobfamily_project_management,Inherited - JobFamily - Project Management,Managed by Workday - Employees in the Project Management JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Project Management"")",JobFam - Project Management
